compressor,regime,ratio,pipeline,workload_id,f1,retrieval_recall,eur_per_query,f1_over_eur,achieved_ratio
lingua2,accuracy_bounded,2.0,P3,c1-a-010,1.0,0.625,0.00016960200000000003,5896.156884942393,1.0
lingua2,accuracy_bounded,2.0,P1,c1-a-011,0.5730071652485446,0.625,0.00016863600000000003,3397.893482106694,2.376
lingua2,accuracy_bounded,2.0,P2,c1-a-011,0.5662337662337662,0.625,0.00016228800000000002,3489.0673754915097,1.0
lingua2,accuracy_bounded,2.0,P3,c1-a-011,0.8285714285714285,0.625,0.00016504800000000002,5020.184604305587,1.0
lingua2,accuracy_bounded,2.0,P1,c1-a-012,0.6127742946708464,0.625,0.00017043,3595.4602750152344,2.372093023255814
lingua2,accuracy_bounded,2.0,P2,c1-a-012,0.5864214808180325,0.625,0.00016311600000000002,3595.119306616349,1.0
lingua2,accuracy_bounded,2.0,P3,c1-a-012,0.9241379310344827,0.625,0.00016849800000000003,5484.563205702635,1.0
lingua2,accuracy_bounded,2.0,P1,c1-a-013,0.5922077922077922,0.625,0.00016849800000000003,3514.6280205568737,2.479338842975207
lingua2,accuracy_bounded,2.0,P2,c1-a-013,0.5937469937469937,0.625,0.00016215,3661.7144233548793,1.0
lingua2,accuracy_bounded,2.0,P3,c1-a-013,0.9142857142857143,0.625,0.00016753200000000002,5457.379570981748,1.0
lingua2,accuracy_bounded,2.0,P1,c1-a-014,0.5820887445887446,0.625,0.000171396,3396.1629477277447,2.453125
lingua2,accuracy_bounded,2.0,P2,c1-a-014,0.5695887445887446,0.625,0.000164634,3459.72730170405,1.0
lingua2,accuracy_bounded,2.0,P3,c1-a-014,0.8267857142857142,0.625,0.00016822200000000002,4914.848915633592,1.0
lingua2,accuracy_bounded,2.0,P1,c1-a-015,0.5954831932773109,0.625,0.00016946400000000003,3513.921501187927,2.34375
lingua2,accuracy_bounded,2.0,P2,c1-a-015,0.5829831932773109,0.625,0.00016284000000000003,3580.0982146727506,1.0
lingua2,accuracy_bounded,2.0,P3,c1-a-015,0.8267857142857142,0.625,0.00016587600000000002,4984.360089981155,1.0
